Pubs: Table 1
Pub ID,Pub Name,Notes about pub,Address,Latitude,Longitude,Opening days,Opening From,Opening To,Visit Date,Spot A ID,Spot A Type,Spot A Detail,Spot A Sun In,Spot A Sun Out,Spot B ID,Spot B Type,Spot B Detail,Spot B Sun In,Spot B Sun Out,Spot C ID,Spot C Type,Spot C Detail,Spot C Sun In,Spot C Sun Out
PUB044,The Gladstone,,"45 Loscoe Rd, Carrington, NG5 2AW",52.9748,-1.1542,Monday to Sunday,14:00,22:00,15/08/2026,PUB044-A,Back Garden,,14:16,18:49,PUB044-B,,,,,PUB044-C,,,,
PUB045,Duke Of Cambridge,,"548 Woodborough Rd, Mapperley, NG3 5FH",52.9765,-1.1362,Monday to Sunday,14:00,22:00,15/08/2026,PUB045-A,Terrace at back of pub,,11:09,17:18,PUB045-B,,,,,PUB045-C,,,,
PUB046,The Robin Hood,,"161 Church St, Arnold, NG5 6ND",52.9998,-1.1312,Monday to Sunday,14:00,22:00,15/08/2026,PUB046-A,Beer Garden,,12:46,17:25,PUB046-B,Back Garden,Seating near the street,15:40,20:20,PUB046-C,,,,
PUB047,Binks Yard,,"1 Island Quarter, Seely Rd, NG2 3BZ",52.9484,-1.1412,Tuesday to Sunday,14:00,22:00,15/08/2026,PUB047-A,Courtyard ,,09:03,13:02,PUB047-B,Courtyard ,,17:08,19:55,PUB047-C,,,,
PUB048,The Lord Nelson,,"Lord Nelson St, Sneinton, NG2 4FJ",52.9508,-1.1278,Monday to Sunday,14:00,22:00,15/08/2026,PUB048-A,Beer Garden,,08:24,17:14,PUB048-B,,,,,PUB048-C,,,,
PUB049,,,,,,,,,,,,,,,,,,,,,,,,


Lists: Table 1
Spot Types,,Opening Hours,,Opening Times Presets
Garden,,00:00,,Varies / check venue
Rooftop,,01:00,,12:00–23:00
Roof garden,,02:00,,12:00–00:00
Window seat,,03:00,,12:00–01:00
Seat,,04:00,,11:00–23:00
Bench,,05:00,,11:00–00:00
Patio,,06:00,,10:00–22:00
Front,,07:00,,10:00–23:00
Side,,08:00,,09:00–17:00
Back,,09:00,,09:00–22:00
Street,,10:00,,09:00–23:00
Canal,,11:00,,08:00–18:00
Other,,12:00,,08:00–20:00
,,13:00,,
,,14:00,,
,,15:00,,
,,16:00,,
,,17:00,,
,,18:00,,
,,19:00,,
,,20:00,,
,,21:00,,
,,22:00,,
,,23:00,,
,,24:00,,
,,01:00 (next day),,
,,02:00 (next day),,
